card
Abomination of Gudul
Abstruse Interference
Merfolk Mesmerist
Merfolk of the Pearl Trident
Merfolk Seastalkers
Merfolk Spy
Mesa Lynx
Mesa Pegasus
Mesmeric Fiend
Metal Fatigue
Metamorphose
Meteorite
Might of Murasa
Might of the Masses
Mighty Leap
Mighty Leap
Mighty Leap
Mind Control
Mind Drain
Mind Raker
Mind Rot
Mind Rot
Mind Rot
Mind Rot
Mind Warp
Mindless Null
Mindless Null
Mindstab
Minotaur Skullcleaver
Mire Blight
Mire's Malice
Mirror Strike
Misery Charm
Misguided Rage
Misguided Rage
Mist Intruder
Mist Leopard
Mistblade Shinobi
Mistfire Weaver
Mistform Mask
Mistform Mutant
Mistform Mutant
Mistform Shrieker
Mistform Stalker
Mistform Wall
Mistform Warchief
Mists of Littjara
Mizzium Skin
Mizzium Skin
Mizzium Skin
Mnemonic Wall
Moan of the Unhallowed
Mogg Bombers
Mogg Fanatic
Mogg Flunkies
Mogg Flunkies
Mogg Flunkies
Mogg Flunkies
Mogg Jailer
Mold Shambler
Molten Blast
Molten Nursery
Molten Ravager
Molting Snakeskin
Moment of Heroism
Monastery Flock
Mons's Goblin Raiders
Monstrify
Monstrous Growth
Moon Heron
Moonwing Moth
Moriok Reaver
Moriok Replica
Morkrut Banshee
Morph
Mortal's Resolve
Mortiphobia
Mosquito Guard
Moss Diamond
Moss-Pit Skeleton
Mountain
Mountain
Mountain
Mourner's Shield
Mourner's Shield
Mourning Thrull
Mudbutton Clanger
Mudbutton Clanger
Mugging
Mulch
Mulch
Murasa Brute
Murasa Pyromancer
Murasa Sproutling
Murder Investigation
Murder of Crows
Murk Strider
Murkfiend Liege
Myrsmith
Mystic of the Hidden Way
Mystic Penitent
Mystic Penitent
Nacatl Outlander
Nacatl Outlander
Nahiri's Binding
Nameless One
Nantuko Husk
Nantuko Monastery
Nantuko Tracer
Nantuko Tracer
Nantuko Vigilante
Narcolepsy
Narrow Escape
Natural Connection
Naturalize
Naturalize
Naturalize
Naturalize
Naturalize
Nature's Spiral
Nature's Spiral
Nature's Spiral
Navigator's Compass
Navigator's Ruin
Naya Hushblade
Nearheath Stalker
Necrobite
Necrobite
Necrogen Censer
Necrogen Spellbomb
Necrologia
Needlebite Trap
Needlebug
Needlepeak Spider
Negate
Negate
Negate
Nemesis Trap
Nest Invader
Nest Robber
Netcaster Spider
Nether Horror
Netherborn Phalanx
Nettle Drone
Neurok Familiar
Neurok Familiar
Neurok Invisimancer
Neurok Replica
Neurok Spy
New Horizons
New Prahv Guildmage
Nightbird's Clutches
Nighthaze
Nightmare Shepherd
Nightwing Shade
Nikko-Onna
Niko Defies Destiny
Nim Lasher
Nim Replica
Nim Replica
Nim Shambler
Nim Shrieker
Nimana Sell-Sword
Nimana Sell-Sword
Nimana Skitter-Sneak
Nimana Skydancer
Nimble Mongoose
Nimbus Naiad
Nirkana Assassin
Nissa's Chosen
Nissa's Chosen
Nissa's Zendikon
Nivix Guildmage
Nivix, Aerie of the Firemind
Noble Vestige
Noble Vestige
Nocturnal Raid
Noggle Bridgebreaker
Nomad Decoy
Nova Cleric
Null Caller
Nylea's Disciple
Nylea's Presence
Nylea's Presence
Nyxborn Rollicker
Oakenform
Oasis
Oblivion Strike
Oblivion's Hunger
Observant Alseid
Obsessive Search
Obsessive Search
Obsessive Stitcher
Offering to Asha
Offering to Asha
Ogre Leadfoot
Ogre Leadfoot
Ogre Savant
Ogre Sentry
Ogre Taskmaster
Ogre's Cleaver
Omega Myr
Omenspeaker
Omenspeaker
Onakke Ogre
Ondu Champion
Ondu Giant
Ondu War Cleric
One With the Wind
One-Eyed Scarecrow
Opaline Unicorn
Open the Omenpaths
Opportunity
Opt
Opt
Oracle of Nectars
Oran-Rief Invoker
Oran-Rief Recluse
Oran-Rief Recluse
Orazca Raptor
Orchard Spirit
Orcish Artillery
Orcish Oriflamme
Orcish Spy
Orcish Vandal
Ordeal of Purphoros
Ornithopter
Orzhov Guildgate
Orzhov Keyrune
Orzhov Signet
Outnumber
Overwhelming Instinct
Overwhelming Instinct
Pacifism
Pacifism
Painsmith
Paired Tactician
Palace Guard
Palace Guard
Paladin of the Bloodstained
Pallid Mycoderm
Panic Attack
Paralyzing Grasp
Paralyzing Grasp
Paranoid Delusions
Parcelbeast
Patrol Hound
Patron of the Wild
Peak Eruption
Pearlspear Courier
Pegasus Courser
Pelakka Wurm
Perilous Voyage
Perish
Permafrost Trap
Pestilent Haze
Pestilent Kathari
Pewter Golem
Phantasmal Abomination
Phantom Beast
Phantom Beast
Phantom Flock
Phantom Warrior
Phantom Warrior
Phantom Whelp
Pharagax Giant
Phyrexian Hulk
Phyrexian Rager
Phyrexian Vault
Pilfering Hawk
Pilgrim's Eye
Pillage
Pillar of Flame
Pillarfield Ox
Pillarfield Ox
Piranha Marsh
Pirate's Cutlass
Pirate's Prize
Pit Fight
Pit Fight
Pit Fight
Pitchburn Devils
Pitchburn Devils
Pitchstone Wall
Pitfall Trap
Plague Beetle
Plagued Rusalka
Plains
Plains
Plant
Plant
Plasma Elemental
Plated Crusher
Plated Geopede
Plated Geopede
Plated Seastrider
Plaxmanta
Plummet
Pollen Lullaby
Ponyback Brigade
Portent
Portent of Betrayal
Pounce
Power Armor
Practiced Tactics
Prahv, Spires of Order
Predator's Gambit
Prescient Chimera
Press into Service
Pressure Point
Prey Upon
Prickly Boggart
Pride of Lions
Pridemalkin
Priest of the Haunted Edge
Primeval Shambler
Primoc Escapee
Prismatic Omen
Prismatic Omen
Prismite
Prized Unicorn
Prized Unicorn
Processor Assault
Prodigal Pyromancer
Prophet of Distortion
Prophet of the Peak
Prosperous Pirates
Provoke
Provoke the Trolls
Prowling Felidar
Prowling Pangolin
Prying Blade
Psychatog
Psychic Membrane
Psychic Miasma
Psychic Strike
Psychic Strike
Pterodon Knight
Pull Under
Puppeteer
Purge the Profane
Putrid Leech
Putrid Leech
Putrid Leech
Putrid Raptor
Pyrite Spellbomb
Pyroclastic Hellion
Pyromancer's Assault
Pyromania
Pyromatics
Pyrostatic Pillar
Pyrotechnics
Pyrotechnics
Quag Sickness
Quagmire Lamprey
Queen's Bay Soldier
Queen's Commission
Quenchable Fire
Quenchable Fire
Quest for Ancient Secrets
Quicksilver Behemoth
Rabid Bite
Radha, Heir to Keld
Radiating Lightning
Rage Thrower
Ragged Veins
Raging Goblin
Raiders' Karve
Raiders' Spoils
Raiders' Wake
Rain of Embers
Rain of Revelation
Raise Dead
Raise the Alarm
Raise the Alarm
Raise the Draugr
Rakdos Carnarium
Rakdos Guildgate
Rakdos Keyrune
Rakdos Shred-Freak
Rakeclaw Gargantuan
Rakshasa's Secret
Rambunctious Mutt
Rampaging Cyclops
Rampant Growth
Rancid Earth
Ranger's Guile
Ranger's Path
Rapacious One
Ravaged Highlands
Raven Wings
Ravenous Lindwurm
Ray of Command
Razor Barrier
Razor Barrier
Razor Barrier
Razor Boomerang
Razor Hippogriff
Razorfield Thresher
Razorfoot Griffin
Razorfoot Griffin
Read the Tides
Reality Hemorrhage
Reassembling Skeleton
Reave Soul
Reaver Drone
Rebound
Rebuke
Reckless Charge
Reckless Cohort
Reckless One
Reckless Reveler
Reckless Wurm
Reclaim the Wastes
Reclaim the Wastes
Reclaiming Vines
Recross the Paths
Redeem
Reef Pirates
Refraction Trap
Refreshing Rain
Regress
Regress
Reinforced Bulwark
Reins of the Vinesteed
Reins of the Vinesteed
Relearn
Relentless Hunter
Relic Crush
Relic Vial
Relief Captain
Rend Flesh
Rendclaw Trow
Renewed Faith
Renewed Faith
Repeal
Replicating Ring
Reprisal
Resilient Wanderer
Resolute Blademaster
Resolute Strike
Retraction Helix
Return to Nature
Return Upon the Tide
Revitalize
Revitalize
Revoke Existence
Rhox Pikemaster
Rhox War Monk
Ridgeline Rager
Ridgetop Raptor
Riftstone Portal
Righteous Cause
Righteous Charge
Rile
Rimewood Falls
Riptide Chronologist
Riptide Chronologist
Riptide Shapeshifter
Riptide Survivor
Rise Again
Rise from the Grave
Rise from the Grave
Risen Riptide
Rising Miasma
Risk Factor
Rite of the Serpent
Ritual of Rejuvenation
River Heralds' Boon
Riverfall Mimic
Riverwheel Aerialists
Rix Maadi Guildmage
Rix Maadi Guildmage
Rix Maadi Guildmage
Roaming Ghostlight
Rockslide Elemental
Rockslide Elemental
Rod of Ruin
Rod of Ruin
Roil Eruption
Roil Spout
Roiling Waters
Roilmage's Trick
Rolling Temblor
Rolling Thunder
Rookie Mistake
Roost of Drakes
Rootborn Defenses
Rootborn Defenses
Rootless Yew
Rootwalla
Rot Wolf
Rotting Fensnake
Rotting Legion
Rotting Mastodon
Rotting Rats
Rousing Read
Rugged Highlands
Ruin Crab
Ruin in Their Wake
Ruin Processor
Ruinous Minotaur
Ruins of Trokair
Ruins of Trokair
Rumbling Aftershocks
Rummaging Goblin
Rummaging Wizard
Run Aground
Run Amok
Run Wild
Run Wild
Rune of Flight
Rune of Speed
Rune of Sustenance
Runeboggle
Runeboggle
Runeclaw Bear
Runeclaw Bear
Runeclaw Bear
Runed Crown
Runed Servitor
Runeflare Trap
Runewing
Runic Repetition
Runner's Bane
Rupture Spire
Rush of Battle
Rush of Ice
Rushwood Dryad
Saberclaw Golem
Sabertooth Mauler
Sabretooth Tiger
Sacred Nectar
Sacred Nectar
Saddleback Lagac
Safe Passage
Safe Passage
Safe Passage
Sage Owl
Sage's Row Denizen
Sage's Row Denizen
Sage-Eye Harrier
Sagu Archer
Sailor of Means
Sakura-Tribe Scout
Salt Marsh
Salt Road Patrol
Salvage Drone
Salvage Scout
Samite Healer
Samite Ministration
Sanctimony
Sanctuary Cat
Sanctum of Calm Waters
Sanctum Spirit
Sandskin
Sandstone Bridge
Sanguine Glorifier
Sanguine Indulgence
Saprazzan Breaker
Saproling
Saproling Migration
Sarulf's Packmate
Satyr Nyx-Smith
Satyr Wayfinder
Savage Punch
Savage Silhouette
Saving Grasp
Sawtooth Loon
Scab-Clan Charger
Scab-Clan Mauler
Scab-Clan Mauler
Scaldkin
Scale of Chiss-Goria
Scale the Heights
Scarland Thrinax
Scatter the Seeds
Scavenged Blade
Scion of Glaciers
Scion Summoner
Scorch Rider
Scorching Dragonfire
Scoria Elemental
Scorn Effigy
Scour from Existence
Scoured Barrens
Scrapdiver Serpent
Screams of the Damned
Screeching Silcaw
Scrib Nibblers
Scrivener
Scroll Thief
Sculptor of Winter
Scythe Leopard
Scythe Tiger
Scythe Tiger
Sea Gate Banneret
Sea Gate Colossus
Sea Monster
Seafloor Stalker
Searing Light
Seascape Aerialist
Seasoned Marshal
Seasoned Marshal
Secrets of the Dead
Secure the Scene
Seed Guardian
Seek the Horizon
Seek the Horizon
Seek the Horizon
Seek the Wilds
Seekers' Squire
Seer's Lantern
Seer's Vision
Segovian Leviathan
Seismic Shift
Seismic Strike
Seize the Initiative
Seize the Spoils
Sejiri Merfolk
Selesnya Guildgate
Selesnya Guildgate
Selesnya Keyrune
Seller of Songbirds
Seller of Songbirds
Serra Paladin
Serra's Embrace
Setessan Starbreaker
Severed Legion
Sewer Shambler
Shackles of Treachery
Shade's Breath
Shadow Alley Denizen
Shadow Alley Denizen
Shadow Glider
Shadow Stinger
Shaleskin Bruiser
Shambleshark
Shambleshark
Shambling Attendants
Shambling Remains
Shaper Apprentice
Shapers of Nature
Shared Discovery
Shatter
Shatter
Shatter
Shatter
Shatter
Shatterskull Giant
Shatterskull Recruit
Sheer Drop
Shell Shield
Shepherd of Rot
Shepherd of Rot
Shepherd of the Cosmos
Shieldmate's Blessing
Shifting Loyalties
Shifting Wall
Shimmerdrift Vale
Shimmering Grotto
Shimmering Grotto
Shimmering Grotto
Shinen of Stars' Light
Shining Aerosaur
Shipwreck Looter
Shiv's Embrace
Shivan Oasis
Shoal Serpent
Shock
Shock
Shock
Shore Keeper
Shoreline Salvager
Short Sword
Short Sword
Shoulder to Shoulder
Sidisi's Pet
Siege Mastodon
Siegecraft
Sigil of the Nayan Gods
Silent Dart
Silent Departure
Silent Skimmer
Silent-Chant Zubera
Silverchase Fox
Silvercoat Lion
Silvercoat Lion
Silverstorm Samurai
Simic Fluxmage
Simic Guildgate
Simic Initiate
Simic Keyrune
Simulacrum
Siren's Ruse
Sizzling Barrage
Skeletal Grimace
Skeleton Archer
Skinbrand Goblin
Skinbrand Goblin
Skinrender
Skinthinner
Skirk Commando
Skirk Drill Sergeant
Skirk Drill Sergeant
Skirk Marauder
Skirk Volcanist
Skittering Heartstopper
Skittering Surveyor
Skitterskin
Skittish Valesk
Skulduggery
Skull Raid
Skull Rend
Sky Ruin Drake
Sky Scourer
Skyblade of the Legion
Skyclave Plunder
Skyclave Sentinel
Skyclave Shadowcat
Skyclave Squid
Skyclave Squid
Skyhunter Prowler
Skyknight Legionnaire
Skyknight Legionnaire
Skyknight Legionnaire
Skyline Cascade
Skymarch Bloodletter
Skyrider Trainee
Skyscanner
Skyshroud Falcon
Skyway Sniper
Slab Hammer
Slaughter Cry
Slaughter Drone
Slaughterhorn
Slaughterhorn
Sleek Schooner
Sleight of Mind
Slingbow Trap
Slip Through Space
Slipstream Eel
Slith Ascendant
Slith Firewalker
Slith Predator
Slith Strider
Slitherhead
Sludge Crawler
Sluiceway Scorpion
Sluiceway Scorpion
Slum Reaper
Smash
Smite
Smite the Monstrous
Smite the Monstrous
Smite the Monstrous
Smite the Monstrous
Smoke Teller
Smokespew Invoker
Smother
Snag
Snapping Drake
Snapping Gnarlid
Snapping Thragg
Snapping Thragg
Snapsail Glider
Snarespinner
Sneaking Guide
Snowhorn Rider
Soaring Seacliff
Solar Blast
Soldier
Solemn Offering
Solemn Offering
Solidarity
Soliton
Somberwald Spider
Song-Mad Treachery // Song-Mad Ruins
Sonic Seizure
Soul Barrier
Soul Barrier
Soul Bleed
Soul Bleed
Soul Net
Soul Parry
Soul Sear
Soul Stair Expedition
Soulcage Fiend
Soulgorger Orgg
Soulsurge Elemental
Spare from Evil
Spare Supplies
Spark Mage
Spark Spray
Sparkmage Apprentice
Sparkmage's Gambit
Sparksmith
Sparksmith
Sparring Construct
Spawnbinder Mage
Spectral Flight
Spectral Rider
Spectral Steel
Spell Pierce
Spell Rupture
Sphere of Duty
Sphere of Law
Sphere of Law
Sphere of Purity
Sphere of Purity
Sphere of Reason
Spidersilk Net
Spidery Grasp
Spike Soldier
Spike Worker
Spike Worker
Spike-Tailed Ceratops
Spikeshot Goblin
Spikeshot Goblin
Spined Basher
Spined Megalodon
Spined Thopter
Spined Wurm
Spined Wurm
Spined Wurm
Spineless Thug
Spire Barrage
Spire Tracer
Spirit
Spirit
Spirit Link
Spirit of the Aldergard
Spiritual Visit
Spitfire Handler
Spitfire Lagac
Spitfire Lagac
Spitting Earth
Spitting Spider
Splatter Thug
Splatter Thug
Spore Burst
Sporoloth Ancient
Spreading Rot
Spreading Seas
Springmantle Cleric
Spurnmage Advocate
Spurred Wolverine
Squall
Squash
Squirrel Nest
Squirrel Nest
Stabbing Pain
Staff of the Mind Magus
Stalking Drone
Stalwart Valkyrie
Stamina
Stampeding Rhino
Stampeding Rhino
Stampeding Wildebeests
Standing Troops
Starlight
Starlight Invoker
Starnheim Courser
Stasis Cocoon
Statute of Denial
Staunch Defenders
Staunch Defenders
Staunch Defenders
Steadfast Armasaur
Steady Progress
Steady Progress
Steal Artifact
Steamcore Weird
Steamcore Weird
Steppe Lynx
Steppe Lynx
Stingmoggie
Stingscourger
Stitcher's Apprentice
Stoic Champion
Stoic Rebuttal
Stoke the Flames
Stone Haven Medic
Stonefare Crocodile
Stonefare Crocodile
Stonefury
Stonewood Invoker
Stonework Packbeast
Stonewright
Storm Crow
Storm Crow
Storm Fleet Aerialist
Storm Fleet Pyromancer
Storm Fleet Spy
Storm Sculptor
Stormcaller of Keranos
Stormcaller's Boon
Stormchaser Mage
Stormfront Pegasus
Stormfront Riders
Story Seeker
Strands of Night
Strands of Undeath
Strangleroot Geist
Stream of Life
Strength of Isolation
Strength of Solidarity
Strider Harness
Struggle for Skemfar
Stupor
Stymied Hopes
Subtle Strike
Suicidal Charge
Sulfurous Mire
Sultai Banner
Sultai Flayer
Sultai Soothsayer
Summit Prowler
Summoner's Bane
Sun-Crowned Hunters
Sunbeam Spellbomb
Sunbeam Spellbomb
Sunfire Balm
Sunfire Balm
Sunflare Shaman
Sunhome Guildmage
Sunhome Guildmage
Sunlance
Sunrise Seeker
Sunspear Shikari
Sunspire Griffin
Suntail Hawk
Suntail Hawk
Sure Strike
Sure Strike
Sure Strike
Sure-Footed Infiltrator
Surrakar Marauder
Surreal Memoir
Svella, Ice Shaper
Svyelunite Temple
Swaggering Corsair
Swallowing Plague
Swamp
Swarm Surge
Swashbuckling
Swat
Swat
Sweep Away
Swell of Courage
Swell of Growth
Swift Justice
Swift Justice
Swift Kick
Swooping Talon
Sylvan Bounty
Sylvan Ranger
Sylvan Scrying
Synchronized Spellcraft
Syncopate
Syndic of Tithes
Tablet of the Guilds
Taigam's Scheming
Tajuru Archer
Tajuru Beastmaster
Tajuru Pathwarden
Tajuru Snarecaster
Tajuru Stalwart
Take Up Arms
Talara's Battalion
Talons of Falkenrath
Tandem Tactics
Tangle Asp
Tangle Spider
Tangled Florahedron // Tangled Vale
Tanglesap
Tar Snare
Tattoo Ward
Taunting Arbormage
Tavern Swindler
Tazeem Raptor
Tazeem Roilmage
Tears of Valakut
Teeterpeak Ambusher
Teferi's Protege
Tel-Jilad Chosen
Tel-Jilad Defiance
Tel-Jilad Outrider
Teleportal
Teleportal
Teleportal
Tempest Owl
Tempest Owl
Temple Acolyte
Temple of Malady
Temple of Silence
Tempting Licid
Temur Banner
Terashi's Grasp
Teroh's Vanguard
Terramorphic Expanse
Territorial Baloth
Territorial Baloth
Territorial Baloth
Territorial Hammerskull
Territorial Scythecat
Territorial Scythecat
Tezzeret's Gambit
Thallid Omnivore
The Mirari Conjecture
The Three Seasons
The Ultimate Nightmare of Wizards of the Coast® Customer Service
Thieving Magpie
Thieving Magpie
Think Tank
Thoughtbind
Thoughtbound Primoc
Thoughtflare
Thousand-legged Kami
Thrash of Raptors
Thrashing Mossdog
Thrashing Mudspawn
Thrashing Mudspawn
Threaten
Threaten
Thrill of Possibility
Throne of Bone
Throttle
Thrull Parasite
Thrull Surgeon
Thrummingbird
Thunder of Hooves
Thunder Strike
Thunderbolt
Thundering Giant
Thundering Sparkmage
Tide Drifter
Tide Skimmer
Tideforce Elemental
Tidings
Tightening Coils
Tilling Treefolk
Tilonalli's Knight
Timber Gorge
Timberland Guide
Timberland Ruins
Timbermaw Larva
Timberwatch Elf
Timberwatch Elf
Time of Ice
Tin Street Hooligan
Tireless Missionaries
Tishana's Wayfinder
Titan's Presence
Titanic Growth
Titanic Growth
Titanium Golem
Toil to Renown
Token: Goblin Wizard
Tolarian Scholar
Tome Anima
Tome Scour
Tome Scour
Tome Scour
Torch Fiend
Torch Slinger
Torch Slinger
Torii Watchward
Tormented Pariah
Tormenting Voice
Tormenting Voice
Tormentor's Helm
Touch of the Void
Tower Geist
Towering Baloth
Towering Baloth
Toxic Iguanar
Track Down
Tragic Poet
Train of Thought
Trained Armodon
Trained Caracal
Trained Caracal
Traitorous Blood
Traitorous Instinct
Traitorous Instinct
Tranquil Expanse
Tranquil Thicket
Tranquility
Trap Runner
Trapfinder's Trick
Trapmaker's Snare
Travel Preparations
Traveler's Amulet
Treacherous Vampire
Treasure
Treasure Keeper
Treasure Trove
Treasured Find
Treasured Find
Treefolk Seedlings
Trepanation Blade
Tribal Unity
Trove of Temptation
Truefire Paladin
Trufflesnout
Trumpet Blast
Trumpet Blast
Trumpet Blast
Trusted Forcemage
Trusty Machete
Tsunami
Tuktuk Grunts
Tuktuk Rubblefort
Tundra Wolves
Tunneler Wurm
Tunneling Geopede
Turn Against
Turn Aside
Turn Aside
Turn to Dust
Turn to Slag
Turn to Slag
Turntimber Ascetic
Turntimber Grove
Turret Ogre
Tusked Colossodon
Twiddle
Twiddle
Twincast
Twisted Abomination
Twisted Abomination
Twisted Image
Typhoid Rats
Ulamog's Crusher
Umara Entangler
Umara Raptor
Umara Wizard // Umara Skyfalls
Unburden
Undead Executioner
Undersea Invader
Undying Rage
Unholy Strength
Unified Strike
Unified Strike
Unity of Purpose
Unknown Shores
Unknown Shores
Unnatural Aggression
Unnatural Endurance
Unquestioned Authority
Unquestioned Authority
Unstable Footing
Unsummon
Untamed Wilds
Unwind
Unyielding Krumar
Urban Burgeoning
Urban Evolution
Urborg Shambler
Urge to Feed
Usher of the Fallen
Utility Knife
Valakut Invoker
Valeron Outlander
Valeron Outlander
Valkyrie's Sword
Valley Rannet
Valley Rannet
Valor
Valor of the Worthy
Vampire Aristocrat
Vampire Aristocrat
Vampire Bats
Vampire Interloper
Vampire Interloper
Vampire Lacerator
Vampire's Bite
Vanquish the Weak
Vanquish the Weak
Vapor Snare
Vaporkin
Vastwood Fortification // Vastwood Thicket
Vastwood Gorger
Vastwood Zendikon
Vault Robber
Vault Skyward
Vedalken Certarch
Vedalken Outlander
Veinfire Borderpost
Venerable Monk
Venerable Monk
Vengeful Dead
Vengeful Reaper
Venom
Venom
Venomspout Brackus
Verduran Emissary
Vertigo Spawn
Vestige of Emrakul
Veteran Swordsmith
Veteran Swordsmith
Viashino Racketeer
Viashino Racketeer
Viashino Shanktail
Viashino Shanktail
Viashino Spearhunter
Vicious Hunger
Vicious Hunger
Vicious Offering
Victual Sliver
Vigil for the Lost
Village Bell-Ringer
Village Ironsmith
Village Rites
Villagers of Estwald
Vine Trellis
Vine Trellis
Vines of the Recluse
Vineshaper Mystic
Viridian Corrupter
Viridian Joiner
Viscera Dragger
Viscera Dragger
Vivify
Vizkopa Confessor
Vodalian Arcanist
Vodalian Arcanist
Vodalian Soldiers
Voiceless Spirit
Voices from the Void
Voidwalk
Volatile Fjord
Volcanic Hammer
Volcanic Spray
Volcanic Strength
Volcanic Upheaval
Volrath's Motion Sensor
Voltaic Key
Voracious Null
Voracious Vampire
Votary of the Conclave
Voyager Drake
Vryn Wingmare
Vulshok Berserker
Vulshok Berserker
Vulshok Gauntlets
Vulshok Replica
Wail of the Nim
Wakedancer
Wakedancer
Walker of the Wastes
Walking Corpse
Walking Corpse
Walking Desecration
Walking Desecration
Wall of Deceit
Wall of Faith
Wall of Faith
Wall of Faith
Wall of Fire
Wall of Fire
Wall of Fire
Wall of Fire
Wall of Hope
Wall of Mulch
Wall of Mulch
Wall of Runes
Wall of Souls
Wall of Spears
Wall of Swords
Wall of Swords
Wall of Swords
Wallop
Wanderguard Sentry
Wanderlust
War Behemoth
War-Spike Changeling
War-Spike Changeling
War-Torch Goblin
Warbreak Trumpeter
Ward Sliver
Warded Battlements
Warden of Geometries
Warden of the Eye
Warden of the Wall
Warden of the Woods
Warhorn Blast
Warlord's Fury
Warmind Infantry
Warmind Infantry
Warmonger's Chariot
Warpath Ghoul
Warped Physique
Warped Researcher
Warrior
Water Servant
Watertrap Weaver
Wave of Indifference
Wave of Indifference
Wave-Wing Elemental
Wavecrash Triton
Weakness
Wee Dragonauts
Wee Dragonauts
Weigh Down
Weight of the Underworld
Welkin Tern
Wetland Sambar
Whipcorder
Whipcorder
Whipkeeper
Whiplash Trap
Whirlwind Adept
Whispergear Sneak
White Knight
White Knight
White Knight
White Knight
White Knight
Whitemane Lion
Whitesun's Passage
Whitesun's Passage
Wild Celebrants
Wild Leotau
Wild Leotau
Wild Mongrel
Wild Mongrel
Wild Mongrel
Wild Swing
Will-o'-the-Wisp
Willbender
Wilt-Leaf Cavaliers
Wind Strider
Windborne Charge
Windborne Charge
Windrider Eel
Windrider Eel
Windrider Wizard
Windscouter
Windstorm
Windstorm
Windstorm
Wing Puncture
Wing Shards
Wing Snare
Wings of the Cosmos
Wirewood Channeler
Wirewood Guardian
Wirewood Herald
Wirewood Savage
Witch's Cauldron
Witch's Cottage
Withercrown
Withstand Death
Witness of the Ages
Witness the End
Woe Strider
Wojek Halberdiers
Wojek Halberdiers
Wolfhunter's Quiver
Wolfhunter's Quiver
Wolfir Silverheart
Wooden Sphere
Wooden Stake
Woolly Loxodon
Woolly Thoctar
Woolly Thoctar
Wormfang Crab
Wormfang Turtle
Wrap in Flames
Wreath of Geists
Wrecking Ball
Wretched Anurid
Wretched Banquet
Wretched Banquet
Wurm's Tooth
Wurmskin Forger
Yamabushi's Storm
Yawgmoth's Edict
Yawning Fissure
Yoke of the Damned
Yotian Soldier
Yotian Soldier
Young Wolf
Youthful Knight
Zada's Commando
Zameck Guildmage
Zanam Djinn
Zektar Shrine Expedition
Zektar Shrine Expedition
Zendikar Farguide
Zephyr Falcon
Zhur-Taa Swine
Zof Consumption // Zof Bloodbog
Zombie Brute
Zombie Goliath
Zombie Goliath
Zombie Outlander
Zulaport Chainmage
Zulaport Duelist
